Product,Colour,Picture,Care Instructions
Regular-fit tracksuit bottoms with circular logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50459973_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50459973_001_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Cotton-blend hooded sweatshirt with logo zip,Black,"https://images.hugoboss.com/is/image/boss/hbeu50458266_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458266_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458266_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458266_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458266_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit zip-up sweatshirt with circular logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50459949_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit tracksuit bottoms with debossed logo panels,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50456418_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50456418_410_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Relaxed-fit unisex sweatshirt in organic cotton with exclusive logo,"White, light pink, Red, Light Blue, Dark Blue, Light Brown, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50455995_100_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455995_100_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455995_100_110?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455995_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Organic-cotton short-sleeved hoodie with handwritten embroidered logos,Black,"https://images.hugoboss.com/is/image/boss/hbeu50457109_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Relaxed-fit sweatshirt with chest logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50462828_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Cotton-blend tracksuit bottoms with colourful logo,"White, Black","https://images.hugoboss.com/is/image/boss/hbeu50466825_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50466825_100_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Cotton-blend tracksuit bottoms with colourful logo,"Black, White","https://images.hugoboss.com/is/image/boss/hbeu50466825_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50466825_001_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Cotton-blend tracksuit bottoms with logo detail,"Black, Yellow","https://images.hugoboss.com/is/image/boss/hbeu50462827_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50462827_001_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Relaxed-fit hooded sweatshirt with logo detailing,Yellow,"https://images.hugoboss.com/is/image/boss/hbeu50462831_321_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Organic-cotton zip-up hoodie with handwritten logo embroidery,Black,"https://images.hugoboss.com/is/image/boss/hbeu50457100_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457100_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457100_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457100_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457100_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Cotton-blend tracksuit bottoms with logo detail,"Yellow, Black","https://images.hugoboss.com/is/image/boss/hbeu50462827_321_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50462827_321_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Hooded sweatshirt in cotton with red logo label,Light Blue,"https://images.hugoboss.com/is/image/boss/hbeu50459869_455_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459869_455_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459869_455_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459869_455_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459869_455_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Tracksuit bottoms in terry cotton with red logo label,"Light Purple, Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50459891_688_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50459891_688_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Organic-cotton relaxed-fit sweatshirt with embroidered logo,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50458648_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Cuffed tracksuit bottoms in organic cotton with handwritten logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50457121_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457121_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457121_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457121_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457121_001_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457121_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Cotton tracksuit bottoms with red logo patch,"Red, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50447963_614_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50447963_614_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Tracksuit bottoms in terry cotton with red logo label,"Light Grey, Light Purple","https://images.hugoboss.com/is/image/boss/hbeu50459891_450_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50459891_450_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Organic-cotton zip-up sweatshirt with handwritten logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50457122_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Hooded sweater in cotton and wool with contrast interior,"Dark Blue, Beige","https://images.hugoboss.com/is/image/boss/hbeu50457715_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Regular-fit tracksuit bottoms in cotton and virgin wool,"Grey, Beige, White","https://images.hugoboss.com/is/image/boss/hbeu50457692_030_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50457692_030_240?$large$=&fit=crop,1&align=1,1","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Regular-fit tracksuit bottoms in cotton and virgin wool,"White, Beige, Grey","https://images.hugoboss.com/is/image/boss/hbeu50457692_131_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50457692_131_240?$large$=&fit=crop,1&align=1,1","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Cotton-blend shorts with gold logo detailing,"Black, White","https://images.hugoboss.com/is/image/boss/hbeu50448199_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448199_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448199_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448199_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448199_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit tracksuit bottoms in cotton and virgin wool,"Beige, White, Grey","https://images.hugoboss.com/is/image/boss/hbeu50457692_262_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50457692_262_240?$large$=&fit=crop,1&align=1,1","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Relaxed-fit hooded sweatshirt in cotton terry,Black,"https://images.hugoboss.com/is/image/boss/hbeu50426651_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50426651_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50426651_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50426651_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50426651_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50426651_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Cuffed-hem tracksuit bottoms with colour-block logo,"Black, Dark Blue, Beige, White, Grey","https://images.hugoboss.com/is/image/boss/hbeu50447036_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_001_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Hooded sweater in cotton and wool with contrast interior,"Beige, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50457715_262_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Interlock-jersey shorts with colour-block logo,"Grey, Dark Blue, White, Black","https://images.hugoboss.com/is/image/boss/hbeu50447035_031_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447035_031_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447035_031_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447035_031_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447035_031_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447035_031_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit water-repellent jacket with statement print,Blue Patterned,"https://images.hugoboss.com/is/image/boss/hbeu50451972_428_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451972_428_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451972_428_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451972_428_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451972_428_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451972_428_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Regular-fit water-repellent jacket with logo artwork,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50445960_410_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50445960_410_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50445960_410_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50445960_410_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50445960_410_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50445960_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Professional wet clean"
Regular-fit shirt in perforated leather with patch pocket,Dark Grey,"https://images.hugoboss.com/is/image/boss/hbeu50450845_027_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Do Not Iron, Gentle chemical dry cleaning F"
Interlock zip-through hooded sweatshirt with colour-block logo,"Red, Dark Blue, Dark Green, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50447024_031_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447024_031_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447024_031_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447024_031_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit bomber jacket with red logo label,"Black, light pink","https://images.hugoboss.com/is/image/boss/hbeu50447956_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447956_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447956_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447956_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447956_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447956_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Water-repellent regular-fit jacket with contrast lining,Dark Green,"https://images.hugoboss.com/is/image/boss/hbeu50457960_342_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457960_342_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457960_342_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457960_342_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457960_342_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457960_342_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Zip-through sweatshirt in terry cotton with logo patch,"Red, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50447972_614_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Cuffed-hem tracksuit bottoms with colour-block logo,"Grey, Dark Blue, Beige, White, Black","https://images.hugoboss.com/is/image/boss/hbeu50447036_031_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_031_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_031_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_031_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_031_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447036_031_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Water-repellent bomber jacket with mixed quilting,Khaki,"https://images.hugoboss.com/is/image/boss/hbeu50447111_342_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447111_342_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447111_342_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447111_342_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447111_342_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447111_342_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Packable regular-fit blouson jacket in shape-memory twill,Black,"https://images.hugoboss.com/is/image/boss/hbeu50451467_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451467_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451467_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451467_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451467_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451467_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Blouson-style slim-fit jacket in micro-patterned fabric,Grey,"https://images.hugoboss.com/is/image/boss/hbeu50454419_041_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454419_041_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454419_041_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454419_041_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454419_041_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454419_041_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Wool-blend bomber jacket with nappa-leather sleeves,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50448956_402_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448956_402_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448956_402_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448956_402_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448956_402_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448956_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Do Not Iron, Gentle chemical dry cleaning F"
Packable down jacket in water-repellent canvas,"Khaki, Red, Dark Blue, Dark Blue, Dark Green, Black, Black","https://images.hugoboss.com/is/image/boss/hbeu50448695_342_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448695_342_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448695_342_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448695_342_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448695_342_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448695_342_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Professional wet clean"
Water-repellent blouson jacket with logo-tape underplacket,"Black, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50446838_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446838_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446838_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446838_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446838_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446838_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Dark-blue jean jacket in stretch denim,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50451800_410_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451800_410_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451800_410_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451800_410_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451800_410_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451800_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Do not chemical dry clean"
Packable down gilet with water-repellent outer,"Dark Blue, Red, Light Blue, Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50448705_403_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_403_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_403_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_403_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_403_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_403_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Professional wet clean"
Packable down gilet with water-repellent outer,"Red, Light Blue, Dark Blue, Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50448705_628_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_628_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_628_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_628_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_628_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448705_628_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Professional wet clean"
Natural denim jacket with white-gold-effect trims,White,"https://images.hugoboss.com/is/image/boss/hbeu50453157_151_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453157_151_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453157_151_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453157_151_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453157_151_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453157_151_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Do not chemical dry clean"
