Movie Name,Duration,Genre,Director Name,Top For Movies
M,1h 39min,"Crime, Mystery, Thriller",Fritz Lang,"Contempt, Spies, M, Fury"
Citizen Kane,1h 59min,"Drama, Mystery",Orson Welles,"Citizen Kane, Touch of Evil, The Lady from Shanghai, The Trial"
2001: A Space Odyssey,2h 29min,"Adventure, Sci-Fi",Stanley Kubrick,"2001: A Space Odyssey, A Clockwork Orange, Barry Lyndon, Eyes Wide Shut"
Like Stars on Earth,2h 45min,"Drama, Family",Aamir Khan,"Like Stars on Earth, Lagaan: Once Upon a Time in India, PK, Dangal"
Star Wars: Episode VI - Return of the Jedi,2h 11min,"Action, Adventure, Fantasy",Richard Marquand,"Star Wars: Episode VI - Return of the Jedi, Jagged Edge, Nowhere to Run, NBC Special Treat"
Inglourious Basterds,2h 33min,"Adventure, Drama, War",Quentin Tarantino,"Reservoir Dogs, Pulp Fiction, From Dusk Till Dawn, Death Proof"
3 Idiots,2h 50min,"Comedy, Drama",Rajkumar Hirani,"PK, 3 Idiots, Sanju, Munna Bhai M.B.B.S."
Good Will Hunting,2h 6min,"Drama, Romance",Gus Van Sant,"Elephant, Drugstore Cowboy, My Own Private Idaho, Paranoid Park"
Amadeus,2h 40min,"Biography, Drama, History",Milos Forman,"One Flew Over the Cuckoo's Nest, Amadeus, The People vs. Larry Flynt, Hair"
Braveheart,2h 58min,"Biography, Drama, History",Mel Gibson,"Braveheart, Lethal Weapon 3, Conspiracy Theory, Ransom"
American Beauty,2h 2min,Drama,Sam Mendes,"1917, Road to Perdition, Skyfall, Revolutionary Road"
High and Low,2h 23min,"Crime, Drama, Mystery",Akira Kurosawa,"The Hidden Fortress, Ran, Kagemusha, Seven Samurai"
Toy Story,1h 21min,"Animation, Adventure, Comedy",John Lasseter,"Toy Story 2, A Bug's Life, Cars, Toy Story"
Capernaum,2h 6min,Drama,Nadine Labaki,"Where Do We Go Now?, Capernaum, Caramel, Mea culpa"
Das Boot,2h 29min,"Adventure, Drama, Thriller",Wolfgang Petersen,"Das Boot, Enemy Mine, Outbreak, Air Force One"
Avengers: Endgame,3h 1min,"Action, Adventure, Drama",Anthony Russo,"Avengers: Endgame, Captain America: The Winter Soldier, Avengers: Infinity War, Captain America: Civil War"
Aliens,2h 17min,"Action, Adventure, Sci-Fi",James Cameron,"Avatar, Titanic, Terminator 2: Judgment Day, Aliens"
Coco,1h 45min,"Animation, Adventure, Drama",Lee Unkrich,"Toy Story 2, Coco, Toy Story 3, Finding Nemo"
Your Name.,1h 46min,"Animation, Drama, Fantasy",Makoto Shinkai,"Your Name., The Place Promised in Our Early Days, Weathering with You, The Garden of Words"
The Dark Knight Rises,2h 44min,"Action, Adventure",Christopher Nolan,"The Prestige, Inception, Dunkirk, Tenet"
Oldboy,2h,"Action, Drama, Mystery",Park Chan-Wook,"The Handmaiden, Thirst, Oldboy, Lady Vengeance"
Pather Panchali,2h 5min,Drama,Satyajit Ray,"Pather Panchali, Charulata, Nayak: The Hero, The World of Apu"
Once Upon a Time in America,3h 49min,"Crime, Drama",Sergio Leone,"Once Upon a Time in America, Duck You Sucker, The Good, the Bad and the Ugly, A Fistful of Dollars"
